trial_number;word1;word2;word3;word4;word5;word6;word7;word8;word9;word10;word11;word12;word13;word14;word15;word16;word17
0;Cerchio;Quadrato;Triangolo;Rettangolo;Ellisse;Parallelogramma;Rombo;Pentagono;Esagono;Trapezio;;;;;;;
1;Punto;Retta;Segmento;Raggio;Angolo;Bisettrice;Perpendicolare;Parallela;Tangente;Intersezione;;;;;;;
2;Contemplare;Intravedere;Sbirciare;Scrutare;Esaminare;Vedere;Individuare;Fissare;Visualizzare;Guardare;Spiare;Addocchiare;Ammiccare;Squadrare;Rivedere;Ammirare;Scorgere
3;Accarezzare;Tamponare;Sentire;Afferrare;Spingere;Coccolare;Pizzicare;Strofinare;Raschiare;Lisciare;Picchittare;Sollecitare;toccare;Sfiorare;Palpare;Grattare;Strusciare
4;Caratterizzare;Classificare;Scoprire;Esaminare;Identificare;Indagare;Imparare;Percepire ;Domandare;Riconoscere ;Scrutinare;Cercare;Studiare;Discriminare;Valutare;Esplorare;Confrontare
5;Lampeggiare;Divampare;Abbagliare;Luccicare;Scintillare;Brillare;Risplendere;Sfolgorare;Sfavillare ;Riflettere;Illuminare;Irradiare;Accecare;Emanare;Dissipare;Rinfrangere;Affievolire
6;Ringhiare ;Brontolare;Mugugnare;Grugnire;Gemere;Borbottare;Piangere;Guaire;Sussurrare;Strillare ;Sospirare;Sghignazzare;Canticchiare;Chiacchierare;Spettegolare;Sgridare;Gridare 
7;Bippare;Ronzare;Scampanellare;Tintinnare;Sferragliare;Cliccare;Scoppiettare;Scricchiolare;Sgranocchiare;Gorgogliare;Sfiatare;Sfrigolare;Cigolare;Vibrare;Frusciare;Squillare;Ticchettare
8;Rimbalzare;Galleggiare;Zoppicare;Rotolare;Passeggiare;Sgattaiolare;Saltellare;Strisciare ;Roteare ;Avanzare;Trottare;Barcollare;Svolazzare;Rantolare;Scivolare;Correre;Camminare
9;Sgarbo;Inganno;Pettegolezzo;Insulto;Aggressivo;Ira;Invidia;Follia;arrabbiato;Malizia;Danneggiato;Gelosia;Peccato;Negazione;Vizio;Ironia;Maleidzione
10;Fiducia;Pace;Morale;Vantaggio;Potere;Misericordia;Verità;Realtà;Credenza;Speranza;Fortuna;Amore;Simpatia;Motivo;Eroismo;Divertimento;Gratitudine